symbol,name,indus_code,indus_name,exc,m_stholder,m_employee,r_tcbsrating,year,m_cap,m_share,r_pb,r_pe,r_eps,r_bvps,p_roe,p_div
FCN,Công ty Cổ phần FECON,2300,Xây dựng và Vật liệu,HOSE,17004,1115,2.2,2024,2251377771500,157439005,0.8979255149,261.6317783033,58.87365003989958,15925.5971258075,0.0037016404,0.0
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,8600,Bất động sản,HOSE,539,28,2.7,2024,656709796000,38629988,1.4569498223,129.7320497695,131.03932320662383,11668.2124118703,0.0112938717,0.0
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,8600,Bất động sản,HOSE,6292,3768,2.2,2024,62824500000000,1035000000,3.2070701611,30.2946329827,2113.1315645507248,18926.9323560551,0.11465333,0.0
AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,3500,Thực phẩm và đồ uống,UPCOM,108,1336,2.5,2024,7657609862028.0,170601298.0,1.4790654474,10.8731379095,4128.15512628163,30347.5414692449,0.1438134249,0
AVG,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,1300,Hóa chất,UPCOM,127,52,-1,2024,302398412128.0,17679982.0,1.3520147241,23.824646331,717.912021120836,12650.7497992928,0.0584057977,0
ATA,Công ty Cổ phần NTACO,3500,Thực phẩm và đồ uống,UPCOM,0,7,-1,2024,5999999000,11999998,0.0,-44.478074322,-11.241493873582312,0.0,0.0002807245,0
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,2300,Xây dựng và Vật liệu,UPCOM,278,611,2.3,2024,1530731000000,127000000,0.9835493544,19.1829091851,657.0192773779528,12254.5960161969,0.0530820173,0.0414834481
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,2300,Xây dựng và Vật liệu,HNX,3071,6,-1,2024,39545532800,24715958,0.1759186217,9.0761535791,176.28613113034098,9095.1144577119,0.0192960689,0
ATG,Công ty Cổ phần An Trường An,1700,Tài nguyên Cơ bản,UPCOM,1028,13,-1,2024,44138000000,15220000,267.5508035259,137.0840010464,21.154912155059133,10.8390629435,80.8652788105,0
FIR,Công ty Cổ phần Địa ốc First Real,8600,Bất động sản,HOSE,1227,29,2.1,2024,588486773960,64245281,0.8076360075,-26.2715876266,-348.665643286703,11341.7429572921,-0.0302764284,0
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,5700,Du lịch và Giải trí,HOSE,327,12,2.3,2024,263546000000,84200000,0.2860275972,38.4852215119,81.32992034441806,10943.0000119002,0.0074598625,0.0
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,182,18,-1,2024,34312292600,5624966,0.612381552,26.3421943317,231.56764858667592,9961.1099976427,0.0235205665,0.0
FIT,Công ty Cổ phần Tập đoàn F.I.T,4500,Y tế,HOSE,22438,1722,2.6,2024,1495705349600,339933034,0.3900753282,12.5411742016,350.8443411504397,11279.8725836189,0.0315241854,0
FLC,Công ty Cổ phần Tập đoàn FLC,8600,Bất động sản,UPCOM,64179,510,2.5,2021,2534692170990,709997807,0.2767870172,30.0085179031,118.96622190834456,12898.0038031343,0.0072980464,0.0
ART,Công ty Cổ phần Chứng khoán BOS,8700,Dịch vụ tài chính,UPCOM,12544,34,2.4,2024,125999261700,96922509,0.9578844711,-6.01024927,-216.29718529057064,1357.1574017136,-0.1476122981,0
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,3500,Thực phẩm và đồ uống,UPCOM,199,116,-1,2024,117111060000.0,20545800.0,0.5094337495,7.9667983065,715.4693492587293,11188.8935628206,0.0660565833,0
FBC,Công ty Cổ phần Cơ khí Phổ Yên,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,222,989,-1,2024,13690000000,3700000,0.1178310724,0.1809143876,20451.66252,31400.8853897297,0.5681522439,0.0
FCS,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,3500,Thực phẩm và đồ uống,UPCOM,279,103,-1,2024,176045220000,25513800,2.8950039649,-118.9460028037,-58.009515556287184,2383.4164248759,-0.0240461806,0
FRM,Công ty Cổ phần Lâm nghiệp Sài Gòn,1700,Tài nguyên Cơ bản,UPCOM,219,46,-1,2024,112320000000,11700000,0.8152212504,23.3937642264,455.9619634188034,11775.9442554701,0.0387691002,0.0
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,4500,Y tế,HNX,306,221,2.9,2024,1163146375300,21499933,2.2416451134,9.5991682943,5635.904939006089,24134.0610414925,0.2454473843,0.0554528651
LPT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,514,199,-1,2024,84048000000.0,12000000.0,0.5364852655,5.9340401136,1180.3088395,13055.344574,0.0946267151,0.0
BMC,Công ty Cổ phần Khoáng sản Bình Định,1700,Tài nguyên Cơ bản,HOSE,0,199,2.8,2024,247852600000,12392630,1.0467241842,11.2569359333,2061.0184306317547,19107.2302545949,0.109832423,0.0
FPT,Công ty Cổ phần FPT,9500,Công nghệ Thông tin,HOSE,58429,54646,2.7,2024,173880377430600,1471069183,5.8365806132,22.1312862474,5340.855415212651,20251.5835611764,0.2869088635,0.0084602369
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,5300,Bán lẻ,HOSE,6552,21552,2.1,2024,22888721352000,136242389,11.9722765326,72.0867679252,2330.524794430902,14032.4189423675,0.1808659976,0.0
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,387,401,2.8,2024,469648000000.0,31520000.0,1.2949185239,9.2154258531,1616.8542005076142,11506.5154483503,0.1511348708,0
DAN,Công ty Cổ phần Dược Danapha,4500,Y tế,UPCOM,189,453,2.8,2024,776799800000.0,20938000.0,1.0155209592,11.0974476699,3343.111056118063,36532.9732140606,0.0948934232,0.0
FTS,Công ty Cổ phần Chứng khoán FPT,8700,Dịch vụ tài chính,HOSE,12806,458,2.3,2024,10753065714900,305919366,2.6112545903,20.4572367793,1854.4674100069885,13460.9624546979,0.146179966,0.0142247511
AAA,Công ty Cổ phần Nhựa An Phát Xanh,1300,Hóa chất,HOSE,27697,2927,2.4,2024,2798249310720,382274496,0.5246240074,8.4031559557,964.1775947590288,13952.849845319,0.0690355966,0.0409836066
BMD,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,150,412,-1,2024,34691328000,2753280,0.9504648188,6.666385403,1890.079741617271,13256.6716309275,0.1409659726,0.0
AAM,Công ty Cổ Phần Thủy Sản MeKong,3500,Thực phẩm và đồ uống,HOSE,1259,114,-1,2024,87659518100,12346411,0.4464677376,-13.9237486874,-509.9201486164684,15902.6048287231,-0.0315592202,0.0
FRC,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,1700,Tài nguyên Cơ bản,UPCOM,197,313,-1,2024,76200000000,3000000,0.4684266005,5.092533095,4987.694635666667,54224.076885,0.0964174077,0.0
FT1,Công ty Cổ phần Phụ tùng máy số 1,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,978,1097,-1,2024,356824591200,7079853,2.4223021893,5.1393683823,9806.652539960929,20806.6525399609,0.4876834085,0.0
ATB,Công ty Cổ phần An Thịnh,2300,Xây dựng và Vật liệu,UPCOM,1088,4,-1,2024,8330400000,13884000,0.2698445896,-2.1123588572,-284.0426464275425,2223.5020570441,-0.1200760258,0
symbol,name,indus_code,indus_name,exc,m_stholder,m_employee,r_tcbsrating,year,m_cap,m_share,r_pb,r_pe,r_eps,r_bvps,p_roe,p_div
TS3,Công ty Cổ phần Trường Sơn 532,2300,Xây dựng và Vật liệu,UPCOM,245,77,-1,2024,21824752080,3851880,0.5442562091,67.3287348771,84.1542620746233,10410.5380987985,0.0081147554,0.0
BCR,Công ty Cổ phần BCG Land,2300,Xây dựng và Vật liệu,UPCOM,3505,185,2.9,2024,1285892963882.0,473799913.0,0.2483318045,4.9628588721,546.8622159054723,10928.9263451321,0.0513220835,0
CT6,Công ty Cổ phần Công trình 6,2300,Xây dựng và Vật liệu,UPCOM,688,95,-1,2024,50086239600,6108078,0.7589439682,21.9276404766,373.95724399721155,10804.4866868105,0.0353939248,0.0
ALT,Công ty Cổ phần Văn hóa Tân Bình,5500,Truyền thông,HNX,544,402,2.7,2024,78391042100,6172523,0.3648085041,24.7705869675,512.7048469483225,34812.7849446653,0.0145359868,0.0
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,232,459,3.1,2024,898800000000,28000000,1.8133057609,10.1614802275,3158.9885805357144,17702.4750555714,0.1913006564,0.0
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,2300,Xây dựng và Vật liệu,HNX,109,39,-1,2024,21110040300,2672157,0.7488818762,40.3110584378,195.97600028740825,10549.0602067917,0.0186577318,0.0
DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,837,1103,-1,2024,57158640000,5773600,0.7277077577,8.4288201336,1174.5416135513372,13604.3623207358,0.0873295206,0.0
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,3300,Ô tô và phụ tùng,UPCOM,0,186,-1,2024,15540000000,4200000,0.2718345647,3.7063399513,998.2894307142857,13611.2197657143,0.0729874386,0.0
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,4500,Y tế,UPCOM,183,159,-1,2024,69270035076,1941588,1.0237792332,24.7848736585,1439.4666880924274,34848.3333549651,0.0408221863,0.0
APC,Công ty Cổ phần Chiếu xạ An Phú,4500,Y tế,UPCOM,1467,216,2.5,2024,150910462500,20121395,0.2648569388,-7.2344841577,-1036.7014201053157,28317.1739251677,-0.0359522302,0.0
DDV,Công ty Cổ phần DAP - Vinachem,1300,Hóa chất,UPCOM,5192,659,3.6,2024,3520079710800,146109900,1.9810932407,23.2326479297,1152.2099866470376,12160.9621922471,0.0967823943,0.0
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,2700,Hàng & Dịch vụ Công nghiệp,HOSE,0,4069,2.3,2024,1560859315200,243884268,0.6228638767,13.1107403185,488.14939847206546,10275.1182721019,0.0485022305,0
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,1300,Hóa chất,HOSE,944,2622,2.9,2024,33990246097000,379779286,2.5445696911,12.1093005584,7864.164205730272,35172.9411509821,0.2383122366,0.0335195531
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,2300,Xây dựng và Vật liệu,UPCOM,0,71,3.4,2024,371142000000,79000000,0.3684945247,100.1122375029,46.92732993670886,12749.1717924937,0.0036876007,0.0
DHG,Công ty Cổ phần Dược Hậu Giang,4500,Y tế,HOSE,4239,2786,3.0,2024,14029053418300,130746071,3.4261031692,18.0790148971,5935.0578895483595,31318.3797161216,0.1734493528,0.0931966449
ASM,Công ty Cổ phần Tập đoàn Sao Mai,3500,Thực phẩm và đồ uống,HOSE,16005,404,2.1,2024,2613458445000,370178250,0.482339729,14.4506599938,488.5590002843225,14636.9862898914,0.0339218176,0.0
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,2300,Xây dựng và Vật liệu,UPCOM,3363,21,2.3,2024,23927256000,26585840,0.0,-3.1693603691,-283.96897013598215,0.0,0.1226731302,0.0
DLD,Công ty Cổ phần Du lịch Đắk Lắk,5700,Du lịch và Giải trí,UPCOM,133,160,2.0,2024,53052265500,9307415,7.9837151127,-5.0710124985,-1124.035880746695,713.9533311881,-0.8809256962,0
DMS,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,136,39,-1,2024,24800000000.0,4000000.0,0.6043764625,0.0,31.344334,10258.506717,0.0030163297,0.0
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,7500,"Điện, nước & xăng dầu khí đốt",HNX,141,161,2.9,2024,609308502000,8027780,4.5722552464,15.144349837,5249.339638480377,16600.1231141112,0.3416241554,0.0329380764
APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,1300,Hóa chất,UPCOM,482,71,-1,2024,26448489936,4724632,0.6210730403,-10.9645568258,-510.55415088413235,9013.4326180325,-0.0542946367,0.0
DNW,Công ty Cổ phần Cấp nước Đồng Nai,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,741,1017,2.9,2024,3861960000000,120000000,1.6615083904,12.5217536381,2783.977427441667,19369.7487090333,0.1485485378,0.0
HII,Công ty Cổ phần An Tiến Industries,1300,Hóa chất,HOSE,974,481,2.4,2024,327063791040,73663016,0.3801290096,125.3791260201,41.661874488006305,11680.2450949877,0.003552665,0.0675675676
DNM,Tổng Công ty Cổ phần Y tế Danameco,4500,Y tế,UPCOM,275,785,2.2,2024,39030310100,5253070,14.8923293903,-148.7498403181,-49.94963345243829,498.9145623416,-0.0541234757,0.0
DNP,Công ty Cổ phần DNP Holding,2300,Xây dựng và Vật liệu,HNX,730,4092,2.2,2024,2692619558600,140974846,1.2992234761,61.9043231515,308.54064833665433,14701.0890363519,0.0238842043,0
DSE,Công ty Cổ phần Chứng khoán DNSE,8700,Dịch vụ tài chính,HOSE,670,231,1.9,2024,7738500000000.0,330000000.0,1.9203185384,42.5728853551,550.8200772484848,12211.5157101727,0.049561559,0.0213219616
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,1300,Hóa chất,UPCOM,100,32,-1,2024,100000000000,10000000,0.9500468359,25.384066717,393.9479088,10525.7968572,0.0372195926,0.0
DMN,Công ty Cổ phần Domenal,3500,Thực phẩm và đồ uống,UPCOM,546,85,-1,2024,72150000000.0,12500000.0,0.4649318863,19.032656916,303.2682208,12414.7217488,0.0247301683,0.0
C22,Công ty Cổ phần 22,3500,Thực phẩm và đồ uống,UPCOM,400,290,-1,2024,68160000000,3550000,0.9708593965,8.7148681914,2203.1314276056337,19776.293116338,0.1123884743,0.0
DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,464,98,-1,2024,51447455000,4719950,0.6141632439,6.1451748174,2086.763972287842,17747.7244163603,0.1190135981,0.1100917431
DPC,Công ty Cổ phần Nhựa Đà Nẵng,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,285,50,1.6,2024,29755824000,2237280,1.205121221,-16.9079241491,-786.6134176321248,11036.2341718515,-0.068822836,0.0
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,3500,Thực phẩm và đồ uống,HOSE,1001,515,2.5,2024,8367980000000,231800000,1.8221404992,22.5730537329,1599.251941147541,19811.8641323684,0.0803430858,0.0
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,1300,Hóa chất,HOSE,17943,1313,2.6,2024,13151040000000,391400000,1.1952848634,32.7776143062,1373.949065291262,28110.4538574042,0.0480729116,0.0
DPR,Công ty Cổ phần Cao su Đồng Phú,1300,Hóa chất,HOSE,3359,3417,2.7,2024,3292976822800,86885932,1.3248603628,12.5689442119,3015.36862294347,28606.7883563475,0.1084711811,0.0
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,1700,Tài nguyên Cơ bản,UPCOM,265,3,-1,2018,31085257000,31085257,0.0954971116,-4.6126376458,-216.7956984238541,10471.5209024651,-0.0204912442,0
ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,2700,Hàng & Dịch vụ Công nghiệp,HNX,106,84,-1,2024,87738180600,3111283,2.2742238178,18.3866051107,1533.7252217172145,12399.8349587614,0.1255872991,0.0
DP2,Công ty Cổ phần Dược phẩm Trung ương 2,4500,Y tế,UPCOM,408,168,-1,2024,92000000000,20000000,1.13864812,-16.5643130307,-277.70544975,4039.87844805,-0.0663177879,0
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,5300,Bán lẻ,UPCOM,2048,198,2.2,2024,272895000000,35000000,0.5733992492,9.7422465803,800.3287471428572,13597.8552661143,0.0605217021,0.0
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,8300,Ngân hàng,HOSE,27603,29352,2.3,2024,249690053860000,6897515300,1.7876237432,11.3572083398,3644.7961195533703,20250.346381979,0.1912333112,0.0
DQC,Công ty Cổ phần Tập đoàn Điện Quang,3700,Hàng cá nhân & Gia dụng,HOSE,361,687,2.6,2024,333286335200,34359416,0.4385026538,-2.7192789203,-3567.1221247474055,22120.7327181871,-0.1483063426,0.0
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,8700,Dịch vụ tài chính,HOSE,3968,159,2.4,2024,3241639200450,215391309,1.3270788523,26.5573785826,627.4722344159206,11340.6976341093,0.0547246389,0.0
TVH,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,2300,Xây dựng và Vật liệu,UPCOM,227,166,-1,2024,65265200000,4004000,0.6905091843,2.4674322145,6606.05787037962,23605.7685686813,0.2818128931,0.0
DRC,Công ty Cổ phần Cao su Đà Nẵng,3300,Ô tô và phụ tùng,HOSE,6482,1973,2.2,2024,2399610621000,118792605,1.2529291601,11.5113141032,1949.772566642511,16122.2203482784,0.1229778641,0.0247524752
DRH,Công ty Cổ phần DRH Holdings,8600,Bất động sản,HOSE,14152,54,2.4,2024,279796198500,124353866,0.2158801591,-1.377201169,-1633.7482501991535,10422.4492397044,-0.1453600183,0
BSD,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",3500,Thực phẩm và đồ uống,UPCOM,239,134,-1,2024,47898000000,3000000,0.7005593255,9.977756336,1600.1593406666666,22790.361099,0.0706063084,0.0
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,7500,"Điện, nước & xăng dầu khí đốt",HOSE,2067,32,2.8,2024,535800000000,9500000,4.7243291548,12.7563469923,4711.834424631579,11938.2028965263,0.387998368,0.0868794326
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,5500,Truyền thông,HNX,2432,25,2.6,2024,190570000000,32300000,0.4777337117,107.3157036328,54.97797433436533,12349.9762643034,0.0044615972,0
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,2300,Xây dựng và Vật liệu,UPCOM,736,473,2.1,2024,281123800000,38600000,0.5288909543,-19.1322924388,-380.6653083160622,13770.3243745078,-0.0267122523,0.0
DTC,Công ty Cổ phần Viglacera Đông Triều,2300,Xây dựng và Vật liệu,UPCOM,463,426,-1,2024,45090000000,10000000,3.3870564996,-1.2201160416,-3695.5501333,1331.2444007,-1.162481127,0.0
CMC,Công ty Cổ phần Đầu tư CMC,2700,Hàng & Dịch vụ Công nghiệp,HNX,383,17,-1,2024,31471245000,4561050,0.5172753468,215.4306728942,32.02886528321329,13339.1240126725,0.0024040082,0
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,310,327,2.3,2022,183766215800,54048887,0.2667057539,4.187682331,811.9049467568129,12748.1314163047,0.06438369,0
DTL,Công ty Cổ phần Đại Thiên Lộc,1700,Tài nguyên Cơ bản,HOSE,220,187,1.8,2024,666576303400,61435604,0.8776806411,156.7470102915,69.21982103407008,12362.1275114997,0.0056147697,0
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,2300,Xây dựng và Vật liệu,UPCOM,3644,14,-1,2024,56708955000,31504975,0.2835489667,-29.265334432,-61.50621665308415,6348.109889946,-0.0096283564,0
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,1300,Hóa chất,HOSE,704,182,2.9,2024,138580940000,8151820,1.0325686041,12.1367933276,1400.6994715290573,16463.7971092345,0.0863298791,0.0
CEN,Công ty Cổ phần CENCON Việt Nam,5300,Bán lẻ,UPCOM,2579,9,-1,2024,45596124000,21712440,0.2085052344,2719.2148720778,0.7722817426323343,10071.6895968855,7.66814e-05,0.0
MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,309,421,-1,2024,86400000000,5400000,0.8861988293,9.9657595361,1605.4972972222222,18054.6390614815,0.0883801746,0.0
MGG,Tổng Công ty Đức Giang - Công ty Cổ phần,3700,Hàng cá nhân & Gia dụng,UPCOM,632,1305,2.8,2024,223190625600,8999622,0.8807007982,10.0077939938,2942.5325468114106,28159.3931240668,0.1089705583,0.0
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,7500,"Điện, nước & xăng dầu khí đốt",UPCOM,274,168,-1,2024,107936700000,10793670,0.6903637324,5.5890181883,1789.2230196958033,14485.117816183,0.1252145506,0.07
BHP,Công ty Cổ phần Bia Hà Nội - Hải Phòng,3500,Thực phẩm và đồ uống,UPCOM,363,213,-1,2024,59665385000,9179290,0.3862098517,34.6422472517,187.63216926363586,16830.2283618886,0.0111129619,0.0
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,2700,Hàng & Dịch vụ Công nghiệp,HOSE,1395,414,3.3,2024,3272000000000,40000000,2.1975398972,10.7374684305,8405.62055025,37223.442497825,0.2347159666,0.0855745721
DSG,Công ty Cổ phần Kính Đáp Cầu,2300,Xây dựng và Vật liệu,UPCOM,620,62,-1,2024,102000000000,30000000,0.0,-5.4694054665,-621.639778,0.0,-3.2589192511,0
DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,2300,Xây dựng và Vật liệu,UPCOM,99,93,-1,2024,41037500000,2345000,0.7494760425,4.7777488012,4259.084781236674,23349.6456307036,0.1885966603,0.1714285714
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,8600,Bất động sản,HOSE,66029,2542,2.5,2024,11739827466250,722450921,1.1215912079,46.806477025,354.2593612459385,14488.344671477,0.0257605877,0.0
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,8600,Bất động sản,HOSE,9293,2252,2.6,2024,3937901243200,579103124,0.654977233,28.8595114787,242.91157123338192,10382.0402557058,0.0236849867,0.0
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,2300,Xây dựng và Vật liệu,HOSE,1095,215,2.6,2024,37125000000,9900000,0.3836633398,-6.5576218949,-571.8536475757576,9774.1942243434,-0.056843615,0.0
DZM,Công ty Cổ phần Cơ điện Dzĩ An,2700,Hàng & Dịch vụ Công nghiệp,UPCOM,0,39,-1,2024,16808356500,5795985,0.0,-18.5784682761,-156.09467674605784,0.0,0.1969866476,0.0
CNC,Công ty Cổ phần Công nghệ cao Traphaco,4500,Y tế,UPCOM,604,300,2.8,2024,407070121500,11364325,2.1350534671,12.5634050686,3167.930969591243,16777.0974129128,0.1937391342,0.0558347292
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,2300,Xây dựng và Vật liệu,UPCOM,251,152,-1,2024,42500000000,5000000,0.7607820777,7.8666318934,1080.5132508,11172.7132508,0.0985920279,0.0
ECI,Công ty Cổ phần Tập đoàn ECI,5500,Truyền thông,HNX,94,40,-1,2024,27156000000,1860000,0.885540065,-56.9852801268,-256.206514516129,16487.1139962366,-0.0154550644,0.0
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,8600,Bất động sản,UPCOM,660,5,-1,2024,23936000000.0,10880000.0,0.348613099,15.1320430064,145.3868455882353,6310.7209867647,0.0233065411,0
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,8300,Ngân hàng,HOSE,20582,6437,2.5,2024,36161485110000,1868810600,1.4407307133,11.677033842,1780.1718376383353,13430.6847360562,0.1399451313,0.0
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,5500,Truyền thông,HNX,1217,149,3.2,2024,378000000000,15000000,0.8246337144,5.5280299492,5008.519345266666,30559.0222188667,0.1720818553,0.0793650794
